No;Name;Chapter;Episode;Year;Note
1;A O;0551;0460;2009;His name was revealed in the Green databook.
2;Abdullah;0704;0632;2013;
3;Absalom;0444;0339;2007;
4;Acilia;0706;0652;2013;
5;Adele;0608;0527;2010;Her name was revealed in the Blue Deep databook.
6;Aggie 68;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
7;Agotogi;0163;0100;2001;His name was revealed in the Blue databook.
8;Agsilly;0570;0482;2010;His name was revealed in the Green databook.
9;Agyo;0706;0652;2013;His name was revealed in Chapter 733.
10;Ahho Desunen IX;0587;0501;2010;His name was revealed in the Blue Deep databook.
11;Ahho Zurako;0587;0501;2010;Her name was revealed in the Blue Deep databook.
12;Ahiru;0905;0883;2018;Her name was revealed in SBS Volume 93.
13;Aisa;0249;0161;2002;
14;Akehende;0548;0451;2009;His name was revealed in Vivre Card.
15;Akudai Kanzaburo;0926;0918;2018;His name was revealed in Vivre Card.
16;Akumai;0129;0078;2000;His name was revealed in the Blue databook.
17;Aladine;0620;0540;2011;His name was revealed in Chapter 623.
18;Albion;0600;0519;2010;
19;Alice;0487;Film: Red;2008;Her name was revealed in Chapter 1109.
20;Ally;0658;0583;2012;
21;Alpacaman;0934;0929;2019;
22;Alpha;1100;;2023;
23;Alvida;0002;0001;1997;
24;Amadob;0559;0467;2009;His name was revealed in the Green databook.
25;Amazon;0238;0153;2002;
26;An Zengaiina;0528;0425;2009;His name was revealed in Vivre Card.
27;And;0379;0267;2005;His real name was revealed in Vivre Card.
28;Andre;0558;0479;2009;His name was revealed in the Green databook.
29;Anjo;0001;0400;1997;His name was revealed in the Blue databook.
30;Ankoro;0606;0525;2010;
31;Antonio;0497;0391;2008;His name is written on his restaurant.
32;Aphelandra;0514;0408;2008;
33;Aramaki;0905;0882;2018;His alias, Ryokugyu, was first mentioned by Donquixote Doflamingo in Chapter 713. His real name was revealed in Chapter 1053.
34;Aremo Ganmi;0707;0636;2013;Her name was revealed in SBS Volume 73.
35;Arlong;0069;0031;1999;
36;Arrow;0196;0120;2001;His name was revealed in the Blue databook.
37;Arthur;0556;0472;2009;His name was revealed in the Green databook.
38;Aruyutayan V;0292;0189;2003;His name was revealed in Vivre Card.
39;Asahija;0483;0375;2007;His name was revealed in the Blue Deep databook.
40;Asashichi;0930;0924;2019;His name was revealed in Vivre Card.
41;Ashura Doji;0920;0910;2018;"He was first mentioned as ""Shutenmaru"" by Holed'em in Chapter 916."
42;Aswa;0163;0100;2001;Her name was revealed in the Blue databook.
43;Atagoyama;0915;0902;2018;His name was revealed in Vivre Card.
44;Atlas;1062;1091;2022;
45;Atmos;0553;0461;2009;
46;Attach;0436;0321;2006;His name was revealed in SBS Volume 24.
47;Avalo Pizarro;0575;0484;2010;His name was revealed by the Marines in Chapter 576.
48;Ayesé Mar;;;2023;Joke character. They were first mentioned in SBS Volume 105.
49;Azuki;0940;0936;2019;Her name was revealed in Vivre Card.
50;Babanuki;0934;0930;2019;His name was revealed in Chapter 935.
51;Babe;0160;0103;2000;"He was first mentioned by Nefertari Vivi in Chapter 155 as his alias ""Mr. 4"". His real name was revealed in Vivre Card"
52;Baby 5;0682;0608;2012;
53;Bacura;0516;0409;2008;Her name was revealed by a Kuja in Chapter 518.
54;Baggaley;0561;0489;2009;His name was revealed in the Green databook.
55;Bakezo;0668;0594;2012;He was named in his anime concept art.
56;Ban Dedessinée;0823;0777;2016;Her name was revealed in the captions of Episode 889.
57;Banchi;0114;0067;1999;
58;Banchina;0041;0017;1998;Her name was revealed in the Blue databook.
59;Bankuro;0966;0959;2020;His name was revealed in SBS Volume 96.
60;Banshee;0552;0461;2009;Her name was revealed in One Piece Magazine Vol.2.
61;Banzaburo;0960;0960;2019;His name was revealed in SBS Volume 98.
62;Bao;0449;0343;2007;
63;Bao Huang;0979;0985;2020;
64;Bariete;0804;0753;2015;
65;Barrel;0196;0120;2001;His name was revealed in the Blue databook.
66;Barry;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
67;Bartholomew Kuma;0233;0151;2002;
68;Bartolomeo;0705;0633;2013;He was first mentioned by Dagama in Chapter 704.
69;Bas;0379;0267;2005;His name was revealed in Chapter 399.
70;Basil Hawkins;0498;0392;2008;
71;Basilisk;0528;0425;2009;
72;Bastille;0553;0462;2009;His name was revealed in the Blue Deep databook. He was fully introduced in Chapter 717.
73;Batchee;0043;0020;1998;His name was revealed in the Blue databook.
74;Batman;0914;0900;2018;
75;Baxcon;0718;0648;2013;His name was revealed in SBS Volume 73.
76;Beer VI;0823;0777;2016;His name was revealed in Chapter 905.
77;Bekori;1097;;2023;
78;Belo Betty;0904;0880;2018;
79;Belladonna;0514;0408;2008;
80;Bellamy;0222;0146;2002;
81;Bellett;0537;0439;2009;Her name was revealed in the Blue Deep databook.
82;Bell-mère;0077;0032;1999;She was first mentioned by Nami in Chapter 50.
83;Benn Beckman;0001;0004;1997;His name was revealed in SBS Volume 5. He was first named in the manga by Borsalino in Chapter 579.
84;Bentham;0129;0078;2000;He is formally introduced through an infobox in Chapter 154. His full name was revealed by Impel Down guard in Chapter 526.
85;Bepo;0498;0392;2008;
86;Bian;0713;0647;2013;Her name was revealed in Chapter 717. She was fully introduced in Chapter 718.
87;Big Pan;0309;0210;2004;
88;Bimine;0657;;2004;Cover story character. He was first mentioned in Chapter 326.
89;Bingo;0928;0921;2018;
90;Bishamon;0931;0925;2019;His name was revealed in the credits of Episode 926.
91;Biyo;0658;0583;2012;
92;Bizarre;0553;0468;2009;His name was revealed in the Green databook.
93;Black Maria;0977;0982;2020;Her name and appearance were revealed in Chapter 978.
94;Blackback;0805;0754;2015;
95;Blamenco;0553;0461;2009;His name was revealed in SBS Volume 58.
96;Blenheim;0553;0461;2009;His name was revealed by Pirates in Chapter 573.
97;Blondie;0558;0468;2009;His name was revealed in the Green databook.
98;Blue Fan;0516;0410;2008;Her name was revealed in SBS Volume 54.
99;Blue Gilly;0706;0636;2013;
100;Bluegrass;1089;;2023;Her name was revealed in Chapter 1094.
101;Bluejam;0584;0494;2010;He was first mentioned by Porchemy in Chapter 583.
102;Blueno;0325;0230;2004;His name was revealed by Franky in Chapter 339.
103;Blumarine;0967;0959;2020;His name was revealed in SBS Volume 96.
104;Boa Hancock;0516;0409;2008;She was first mentioned by the Risky Brothers in Chapter 489.
105;Boa Marigold;0516;0409;2008;
106;Boa Sandersonia;0516;0409;2008;
107;Bobbin;0651;0571;2012;
